book_id,goodreads_book_id,authors,original_publication_year,title
1,2767052,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)"
2,3,"J.K. Rowling, Mary GrandPré",1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
3,41865,Stephenie Meyer,2005.0,"Twilight (Twilight, #1)"
4,2657,Harper Lee,1960.0,To Kill a Mockingbird
5,4671,F. Scott Fitzgerald,1925.0,The Great Gatsby
6,11870085,John Green,2012.0,The Fault in Our Stars
7,5907,J.R.R. Tolkien,1937.0,The Hobbit
8,5107,J.D. Salinger,1951.0,The Catcher in the Rye
9,960,Dan Brown,2000.0,"Angels & Demons  (Robert Langdon, #1)"
10,1885,Jane Austen,1813.0,Pride and Prejudice
11,77203,Khaled Hosseini,2003.0,The Kite Runner
12,13335037,Veronica Roth,2011.0,"Divergent (Divergent, #1)"
13,5470,"George Orwell, Erich Fromm, Celâl Üster",1949.0,1984
14,7613,George Orwell,1945.0,Animal Farm
15,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,The Diary of a Young Girl
16,2429135,"Stieg Larsson, Reg Keeland",2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)"
17,6148028,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)"
18,5,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
19,34,J.R.R. Tolkien,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)"
20,7260188,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)"
21,2,"J.K. Rowling, Mary GrandPré",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
22,12232938,Alice Sebold,2002.0,The Lovely Bones
23,15881,"J.K. Rowling, Mary GrandPré",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
24,6,"J.K. Rowling, Mary GrandPré",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
25,136251,"J.K. Rowling, Mary GrandPré",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
26,968,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)"
27,1,"J.K. Rowling, Mary GrandPré",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
28,7624,William Golding,1954.0,Lord of the Flies
29,18135,"William Shakespeare, Robert           Jackson",1595.0,Romeo and Juliet
30,8442457,Gillian Flynn,2012.0,Gone Girl
31,4667024,Kathryn Stockett,2009.0,The Help
32,890,John Steinbeck,1937.0,Of Mice and Men
33,930,Arthur Golden,1997.0,Memoirs of a Geisha
34,10818853,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)"
35,865,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist
36,3636,Lois Lowry,1993.0,"The Giver (The Giver, #1)"
37,100915,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
38,14050,Audrey Niffenegger,2003.0,The Time Traveler's Wife
39,13496,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)"
40,19501,Elizabeth Gilbert,2006.0,"Eat, Pray, Love"
41,28187,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)"
42,1934,Louisa May Alcott,1868.0,"Little Women (Little Women, #1)"
43,10210,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre
44,15931,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)"
45,4214,Yann Martel,2001.0,Life of Pi
46,43641,Sara Gruen,2006.0,Water for Elephants
47,19063,Markus Zusak,2005.0,The Book Thief
48,4381,Ray Bradbury,1953.0,Fahrenheit 451
49,49041,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)"
50,30119,Shel Silverstein,1974.0,Where the Sidewalk Ends
51,256683,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)"
52,428263,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)"
53,113436,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)"
54,11,Douglas Adams,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
55,5129,Aldous Huxley,1932.0,Brave New World
56,1162543,Stephenie Meyer,2008.0,"Breaking Dawn (Twilight, #4)"
57,37435,Sue Monk Kidd,2001.0,The Secret Life of Bees
58,2956,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn
59,24178,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web
60,1618,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time
61,22557272,Paula Hawkins,2015.0,The Girl on the Train
62,119322,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)"
63,6185,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights
64,10917,Jodi Picoult,2004.0,My Sister's Keeper
65,4981,Kurt Vonnegut Jr.,1969.0,Slaughterhouse-Five
66,18405,Margaret Mitchell,1936.0,Gone with the Wind
67,128029,Khaled Hosseini,2007.0,A Thousand Splendid Suns
68,22628,Stephen Chbosky,1999.0,The Perks of Being a Wallflower
69,11735983,Veronica Roth,2012.0,"Insurgent (Divergent, #2)"
70,375802,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)"
71,18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,Frankenstein
72,11588,Stephen King,1977.0,The Shining (The Shining #1)
73,1656001,Stephenie Meyer,2008.0,"The Host (The Host, #1)"
74,99561,John Green,2005.0,Looking for Alaska
75,227443,Helen Fielding,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)"
76,14935,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility
77,38709,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)"
78,5139,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)"
79,1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,The Odyssey
80,157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,The Little Prince
81,7445,Jeannette Walls,2005.0,The Glass Castle
82,1845,Jon Krakauer,1996.0,Into the Wild
83,1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities
84,7677,Michael Crichton,1990.0,"Jurassic Park (Jurassic Park, #1)"
85,370493,Shel Silverstein,1964.0,The Giving Tree
86,32542,John Grisham,1989.0,A Time to Kill
87,1617,"Elie Wiesel, Marion Wiesel",1958.0,Night (The Night Trilogy #1)
88,6442769,John Green,2008.0,Paper Towns
89,21787,William Goldman,1973.0,The Princess Bride 
90,231804,S.E. Hinton,1967.0,The Outsiders
91,6186357,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)"
92,1202,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
93,2998,Frances Hodgson Burnett,1911.0,The Secret Garden
94,320,"Gabriel García Márquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude
95,5297,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray
96,13536860,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)"
97,17245,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula
